id,name,year,budget,popularity,runtime,vote_average,poster_path
9101,Down Periscope,1996,0,5.184977,92,5.6,/q6JEjedx4LoZRig8U1R5sJqBfti.jpg
123360,From the Journals of Jean Seberg,1995,0,0.276401,97,6.5,/wfPHta8Wxm4LQVHU8tRhL8GCyIz.jpg
5757,Man of the Year,1995,0,0.540436,86,3.8,/nKYRDhGlbvQpXJnyMm7fcFDtm6P.jpg
39428,The Neon Bible,1995,0,0.370342,91,7.2,/wpaZXRvhdNhmaedy8BMytuOXvGO.jpg
124639,Target,1995,0,0.001205,122,0,/z0ezqAFMeGYd5mLEWaN8jC9eczF.jpg
9302,Up Close & Personal,1996,60000000,3.402749,119,5.9,/bxRJQjCsJu6j4lvphjVJ5knNebs.jpg
11000,The Birdcage,1996,31000000,6.49968,117,6.7,/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg
249882,Virgin Mary,1995,0,0.918504,125,7,/b8niK1RquKFR7TZBJbWN8zZPCcT.jpg
16388,The Brothers McMullen,1995,0,2.039196,98,6.3,/8YlwQ2BBH6PY3Tl0bOf0fLep31h.jpg
9737,Bad Boys,1995,19000000,9.262184,118,6.5,/1dKsSfpAqWSc5UJT9VIqK5JVFI5.jpg
30765,The Amazing Panda Adventure,1995,0,2.375865,81,5,/1yB7ryvYqKrNTnWcx3C31RdUgL1.jpg
10474,The Basketball Diaries,1995,0,7.415144,102,7.2,/8BkedYL5LdpkyHc7JtuohMr8a9N.jpg
22279,An Awfully Big Adventure,1995,4000000,0.922958,113,6,/e8YzXziAXKIqnWJbLI6OzbdkGYD.jpg
30157,Amateur,1994,0,1.759012,105,6.5,/lZHBvDFavIfOx8gD4iqY701jF98.jpg
568,Apollo 13,1995,52000000,18.761467,140,7.3,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg
11780,Rob Roy,1995,28000000,10.193549,139,6.5,/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg
34996,The Addiction,1995,0,3.137285,82,6.4,/ej0gD547grj5QMoKuzqKyHuc3Xi.jpg
414,Batman Forever,1995,100000000,13.321354,121,5.2,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg
649,Belle de Jour,1967,0,10.142662,101,7.3,/rHvKWARrhNwSjbTMJrn5v4LtUJE.jpg
1873,Beyond Rangoon,1995,0,2.04189,100,6.4,/5CQgpLITPo33AEN1jULsyiHxSDJ.jpg
5894,Blue in the Face,1995,2000000,11.528147,83,6.8,/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg
1775,Canadian Bacon,1995,11000000,5.391556,91,5.9,/qnKARYBofUzHkBY8x9GWSNSoota.jpg
8839,Casper,1995,50000000,12.812539,100,6,/cpMbvFDD2C21pqMNXVPhSWGQBR9.jpg
20649,Clockers,1995,25000000,4.558992,128,6.8,/ugGhvQoGBrefqmkeBvBgT4YVCRk.jpg
